iter	Passed	Remaining
411	4014	5729
412	4028	5725
413	4034	5710
414	4040	5695
415	4047	5681
416	4057	5673
417	4067	5662
418	4075	5650
419	4082	5638
420	4091	5626
421	4100	5616
422	4111	5608
423	4117	5593
424	4128	5585
425	4134	5571
426	4143	5559
427	4149	5545
428	4152	5526
429	4158	5512
430	4171	5506
431	4181	5497
432	4188	5485
433	4196	5472
434	4206	5463
435	4216	5454
436	4225	5443
437	4231	5429
438	4240	5419
439	4248	5407
440	4261	5401
441	4267	5388
442	4275	5375
443	4285	5367
444	4294	5355
445	4300	5341
446	4306	5328
447	4315	5317
448	4324	53449449	4332	52450450	4347	5292
451	4356	5282
452	4369	5276
453	4378	5265
454	4390	5259
455	4402	5251
456	4410	5240
457	4423	5234
458	4427	5219
459	4434	5206
460	4443	5195
461	4452	5184
462	4460	5173
463	4467	5160
464	4477	5152
465	4489	5144
466	4496	5132
467	4503	5119
468	4508	5103
469	4517	5094
470	4526	5083
471	4537	5075
472	4546	5065
473	4551	5050
474	4559	5039
475	4568	5029
476	4581	5023
477	4590	5013
478	4600	5003
479	4609	4993
480	4616	4980
481	4626	4972
482	4635	4961
483	4644	4951
484	4651	4939
485	4660	4928
486	4667	4916
487	4677	4907
488	4686	4896
489	4696	4888
490	4704	4877
491	4711	4865
492	4716	4850
493	4723	48494494	4734	48495495	4741	48496496	4752	4809
497	4760	4798
498	4773	4792
499	4784	4784
500	4790	4771
501	4799	4760
502	4809	4752
503	4815	4738
504	4826	4730
505	4833	4719
506	4841	4707
507	4851	4698
508	4858	46509509	4869	4678
510	4876	46511511	4889	4660
512	4901	4653
513	4912	4644
514	4920	4633
515	4929	4623
516	4936	4612
517	4946	46518518	4952	45519519	4958	45520520	4966	45521521	4975	45522	4983	4545
523	4993	4535
524	5003	4526
525	5013	4517
526	5024	4509
527527	5034	45528	5040	4488
529529	5054	44530	5059	4468
531	5067	4457
532532	5079	44533	5081	4434
534	5088	4422
535	5099	4414
536	5108	4404
537	5117	4394
538	5126	4384
539	5137	4376
540	5147	4366
541	5154	4355
542	5162	4344
543	5173	4336
544	5182	4326
545	5190	4316
546	5201	4307
547	5208	4295
548	5214	4283
549549	5226	42550550	5237	42551551	5246	42552552	5258	42553553	5264	42554554	5273	42555555	5285	42556556	5294	42557557	5306	4203
558	5314	4192
559	5323	4182
560	5331	4172
561	5337	4160
562	5345	4149
563	5356	4140
564	5362	4128
