iter	Passed	Remaining
415	3462	4860
416	3468	4848
417	3475	4839
418	3483	4830
419	3491	4821
420	3500	4814
421	3508	4805
422	3513	4792
423	3520	4782
424	3526	4770
425	3534	4762
426	3542	4754
427	3552	4747
428	3562	4742
429	3574	4737
430	3582	4730
431	3587	4716
432	3597	4711
433	3606	4703
434	3614	4694
435	3623	4686
436	3632	4680
437	3638	4668
438	3645	4659
439	3656	4653
440	3662	4642
441	3671	4634
442	3678	4625
443	3687	4617
444	3693	4605
445	3702	4599
446	3709	4589
447	3719	4582
448	3726	4573
449	3735	4566
450	3745	4559
451	3752	4549
452	3766	4548
453	3774	4538
454	3781	4530
455	3793	4525
456	3801	4517
457	3810	4509
458	3818	4501
459	3832	4498
460	3838	4487
461	3847	4480
462	3851	4467
463	3861	4460
464	3871	4453
465	3879	4445
466	3886	4435
467	3897	4430
468	3906	4422
469	3916	4416
470	3923	4406
471	3933	4400
472	3941	4391
473	3950	4383
474	3958	4375
475	3964	4364
476	3969	4352
477	3978	4344
478	3984	4333
479	3991	4323
480	3999	4315
481	4010	4310
482	4017	4300
483	4025	4292
484	4033	4283
485	4041	4274
486	4050	4267
487	4059	4259
488	4070	4253
489	4079	4246
490	4090	4240
491	4099	4232
492	4107	4223
493	4114	4214
494	4123	4207
495	4135	4202
496	4141	4191
497	4149	4183
498	4156	4172
499	4161	4161
500	4166	4149
501	4174	4141
502	4183	4133
503	4193	4126
504	4199	4115
505	4209	4109
506	4218	4102
507	4223	4090
508	4230	4080
509	4240	4073
510	4246	4064
511	4255	4056
512	4262	4046
513	4268	4035
514	4273	4024
515	4280	4014
516	4288	4006
517	4299	4000
518	4308	3993
519	4315	3983
520	4323	3975
521	4329	3964
522	4341	3959
523	4347	3949
524	4353	3938
525	4361	3930
526	4371	3923
527	4381	3916
528	4388	3907
529	4395	3897
530	4406	3892
531	4413	3882
532	4421	3873
533	4426	3862
534	4438	3858
535	4443	3846
536	4450	3837
537	4458	3828
538	4463	3817
539	4472	3809
540	4480	3801
541	4492	3796
542	4494	3782
543	4503	3774
544	4507	3763
545	4514	3753
546	4523	3745
547	4531	3737
548	4537	3727
549	4546	3719
550	4551	3709
551	4558	3699
552	4565	3690
553	4570	3679
554	4577	3670
555	4583	3660
556	4590	3651
557	4602	3645
558	4614	3640
559	4620	3630
560	4629	3623
561	4640	3616
562	4649	3608
563	4656	3599
564	4665	3591
565	4671	3581
566	4675	3570
567	4686	3564
568	4696	3557
569	4703	3547
570	4715	3542
571	4719	3531
572	4730	3524
573	4737	3515
574	4744	3506
575	4751	3497
576	4761	3490
577	4769	3482
578	4780	3475
579	4786	3466
580	4796	3459
581	4803	3450
582	4808	3439
